Exp ;Trial;Relative Score;Score;Status;metric-collector.accepted_spans_rate (spans/s);metric-collector.cpu_millicores (millicores);metric-collector.dropped_logs (logs);metric-collector.dropped_metric_points (points);metric-collector.dropped_spans (span);metric-collector.exported_spans_rate (spans/s);metric-collector.heap_alloc_bytes (bytes);metric-collector.memory_rss_bytes (bytes);metric-collector.refused_log_records (records);metric-collector.refused_metric_points (points);metric-collector.refused_spans (spans);metric-collector.working_set_bytes (bytes);parameter-collector.batch_send_size;parameter-collector.batch_timeout_s;parameter-collector.gogc;parameter-collector.gomaxprocs;parameter-collector.gomemlimit_mib;parameter-collector.memory_limit_mib;parameter-collector.memory_spike_mib;parameter-collector.tail_decision_wait_s;parameter-collector.tail_num_traces
8;1;-9.653312290983006;0.157755553285834;COMPLETED;2402.702150427351;46.86579086410828;0;0;0;213.5608786666667;32086970.074074075;136706578.96296296;0;0;0;68745216;1448;7;153;1;328;350;31;7;5812
7;1;-38.22657152290301;0.198863206352887;COMPLETED;2380.171349059829;69.08245453210192;0;0;0;395.49840461538463;22711190.814814813;76024642.37037037;0;0;0;65174300.44444445;488;2;78;2;187;188;61;2;11313
6;1;-20.937462886610003;0.17398978628237;COMPLETED;2409.9163835897434;47.15329420658753;0;0;0;426.30133333333333;50430093.538461536;119040945.23076923;0;0;0;85559182.22222222;968;5;191;2;117;430;46;9;8563
5;1;-7.019241544607002;0.153965979771757;COMPLETED;2417.227193162393;49.642948619331385;0;0;0;430.42133333333334;23979351.703703705;78774120.2962963;0;0;0;58712291.55555555;1928;10;116;1;258;269;77;4;3062
4;1;+27.410734474507404;0.104432410716407;COMPLETED;2384.115948034188;28.98014256659085;0;0;0;15.44;24340354.074074075;68488912.5925926;0;0;0;49899064.88888889;1328;7;144;1;135;168;42;7;2375
3;1;-28.937377370221995;0.185499068667315;COMPLETED;2405.617998205128;67.6450116285794;0;0;0;433.54238337777775;23546066.153846152;70416541.53846154;0;0;0;53911552;368;2;68;2;275;329;73;3;7875
2;1;-7.451656264964002;0.154588084312274;COMPLETED;2387.1207302564103;50.259335616559106;0;0;0;428;28448937.48148148;75779640.8888889;0;0;0;58056590.222222224;1808;9;106;1;205;410;58;5;5125
1;3;0;0.149695624286117;COMPLETED;2413.356709059829;50.32317640426189;0;0;0;435.12;25239029.925925925;73340852.14814815;0;0;0;52666254.222222224;512;5;100;1;250;300;60;5;5000
1;2;0;0.148817337624876;COMPLETED;2397.339031111111;50.169128712340374;0;0;0;422.6023264957265;24502567.703703705;74974397.62962963;0;0;0;52054016;512;5;100;1;250;300;60;5;5000
1;1;0;0.133089741162498;COMPLETED;1691.917962105263;41.32324461740211;0;0;0;647.5844444444444;20230198.153846152;115575676.71794872;0;0;0;54163029.333333336;512;5;100;1;250;300;60;5;5000
